,DL00002500,DL00002500,DL00002500,DL00003413,DL00003413,DL00003413,DL00003522,DL00003522,DL00003522
,Forecast,Lower CI,Upper CI,Forecast,Lower CI,Upper CI,Forecast,Lower CI,Upper CI
2024-12-01,26273.368786365227,6305.536007351078,46241.20156537938,182876.56075160005,103318.20906756124,262434.91243563883,23444.425150803298,13505.12326271509,33383.727038891506
2025-01-01,27589.70877444175,4466.726513528782,50712.69103535472,175695.3361594792,87641.12331419454,263749.54900476383,23392.70165716606,6738.458340029789,40046.94497430233
2025-02-01,28132.657922660626,3587.5661402243713,52677.74970509688,178388.62891418018,75396.45046053396,281380.8073678264,23413.21395696072,2882.942812838861,43943.48510108258
2025-03-01,28356.60749512812,2881.6348100934374,53831.5801801628,177378.5190409305,63944.33391472936,290812.7041671316,23405.079269736823,-654.0034524911789,47464.16199196482
2025-04-01,28448.979701941407,2221.610569077766,54676.348834805045,177757.35715804776,53895.031147997215,301619.68316809833,23408.305292020676,-3626.396050986219,50443.006635027574
2025-05-01,28487.080353340487,1582.9203286601733,55391.2403780208,177615.27526895658,44443.21405079731,310787.3364871158,23407.025928784024,-6342.029803529767,53156.081661097815
2025-06-01,28502.79568251919,959.8641085271047,56045.72725651128,177668.56257637255,35689.063899623405,319648.0612531217,23407.53329362756,-8815.203495836286,55630.270083091404
2025-07-01,28509.277765164134,350.59381201474025,56667.96171831353,177648.57736115754,27415.051025599125,327882.10369671596,23407.332084872232,-11117.05365193963,57931.7178216841
2025-08-01,28511.951421880967,-245.87400665038513,57269.77685041232,177656.0727450784,19585.403915873176,335726.7415742836,23407.41187944952,-13272.701863674225,60087.52562257326
2025-09-01,28513.05422180362,-830.2980997618542,57856.4065433691,177653.26162798426,12120.935365580139,343185.5878903884,23407.38023482971,-15309.285262681326,62124.045732340746
2025-10-01,28513.50909234169,-1403.3531612165898,58430.37134589997,177654.31592745715,4980.724434203381,350327.9074207109,23407.392784328647,-17243.67169416211,64058.4572628194
2025-11-01,28513.696712237335,-1965.659643938241,58993.05306841291,177653.92051618776,-1876.4697337601683,357184.3107661357,23407.38780749769,-19090.21287052479,65904.98848552017
