,DL00000068,DL00000068,DL00000068,DL00000679,DL00000679,DL00000679,DL00002467,DL00002467,DL00002467,DL00003018,DL00003018,DL00003018,DL00003022,DL00003022,DL00003022,DL00003896,DL00003896,DL00003896
,Forecast,Lower CI,Upper CI,Forecast,Lower CI,Upper CI,Forecast,Lower CI,Upper CI,Forecast,Lower CI,Upper CI,Forecast,Lower CI,Upper CI,Forecast,Lower CI,Upper CI
2024-12-01,2355.657129843918,1242.241806710839,3469.072452976997,12992.064749362737,6547.313910335432,19436.81558839004,25983.23611424584,-1090.1724695629782,53056.64469805466,35401.131992543065,19381.684370405037,51420.57961468109,43948.61300697398,24259.46099791906,63637.765016028905,12658.416584042923,8499.446453046427,16817.38671503942
2025-01-01,2468.8350423220068,1128.5559303522898,3809.114154291724,13557.193832760988,5091.299348340079,22023.088317181897,29166.137241806864,-2750.448023191366,61082.72250680509,36126.8911617083,14301.44166194545,57952.34066147115,44817.268435497106,19994.80877135922,69639.72809963499,11984.78343203023,5598.62914805238,18370.93771600808
2025-02-01,2512.7538722157005,1042.8477291655356,3982.6600152658657,13862.500823649561,4043.68646408566,23681.31518321346,30817.39554697717,-3150.7557029736527,64785.546796928,36549.91970388849,10551.983251448986,62547.856156327995,44992.23480792201,16397.70980136806,73586.75981447595,11615.730289639443,3365.8787273455964,19865.58185193329
2025-03-01,2529.796628854321,960.978238955081,4098.615018753561,14027.440766440912,3143.8879785715417,24910.993554310284,31674.052377056993,-3437.8374918488626,66785.94224596285,36796.49343674939,7400.6046730445305,66192.38220045425,45027.47689641224,13185.582061491627,76869.37173133285,11413.54276145504,1537.5945947164928,21289.49092819359
2025-04-01,2536.41009179371,881.5131610558014,4191.307022531619,14116.548404129899,2322.3569239681,25910.739884291695,32118.47765093728,-3778.9411259113367,68015.89642778589,36940.215667461336,4599.840039353665,69280.591295569,45034.575430741665,10262.172984600504,79806.97787688283,11302.773357654567,-21.91171994825163,22627.458435257387
2025-05-01,2538.9764543240267,804.7703870620862,4273.182521585967,14164.68817524984,1554.3204378954542,26775.055912604224,32349.041182480196,-4174.133862416365,68872.21622737676,37023.988092695574,2038.6017943161205,72009.37439107502,45036.00523220306,7564.370790031782,82507.63967437434,11242.087810289244,-1393.2876686605196,23877.463289239007
2025-06-01,2539.972334500173,730.8519522947895,4349.092716705556,14190.69534616788,828.4571838631455,27552.933508472615,32468.65531156292,-4602.356931321294,69539.66755444714,37072.817137408165,-342.59511476872285,74488.22938958506,45036.29322576964,5047.739107571862,85024.84734396741,11208.840943079751,-2627.2802578473984,25044.962144006902
2025-07-01,2540.358787042838,659.6483907494362,4421.06918333624,14204.745536341718,138.1842547261349,28271.306817957302,32530.709964267422,-5047.192287015889,70108.61221555073,37101.2784789639,-2580.0346961156974,76782.5916540435,45036.351234029265,2680.2772320307777,87392.42523602775,11190.626487954358,-3757.0712334509935,26138.324209359707
2025-08-01,2540.5087504333233,590.9635293879826,4490.053971478664,14212.336052224553,-521.1048899636953,28945.7769944128,32562.903317609595,-5498.658753825239,70624.46538904443,37117.86794877475,-4698.134863829706,78933.8707613792,45036.362918172854,438.2931001106481,89634.43273623506,11180.647611646269,-4805.107345120339,27166.40256841288
2025-09-01,2540.566943913772,524.5839031844962,4556.5499846430475,14216.436774752485,-1153.0044079174822,29585.877957422454,32579.60491779982,-5951.207734430653,71110.41757003029,37127.537574082686,-6714.558423510673,80969.63357167604,45036.365271617215,-1696.2605066965552,91768.99104993098,11175.180636560459,-5787.080383096234,28137.441656217154
2025-10-01,2540.5895259663366,460.30746830312137,4620.871583629552,14218.652161099164,-1760.472102212998,30197.776424411328,32588.269546363033,-6401.900111621526,71578.4392043476,37133.173779136974,-8642.75864576667,82909.10620404061,45036.365745652845,-3737.4871171683117,93810.21860847401,11172.185528126793,-6714.315264850684,29058.68632110427
2025-11-01,2540.598288959959,397.95271231385505,4683.243865606063,14219.849007906434,-2346.002033163206,30785.700048976076,32592.764671817084,-6849.242271912135,72034.7716155463,37136.45899509957,-10493.3641950569,84766.28218525604,45036.36584113408,-5696.652204267521,95769.38388653568,11170.544643654372,-7595.236095916156,29936.3253832249
